target,source,weight
Belgium,Belgium,0.16
Bulgaria,Belgium,3.54
Czech Republic,Belgium,6.14
Denmark,Belgium,3.06
Germany,Belgium,1.93
Estonia,Belgium,3.21
Ireland,Belgium,2.36
Greece,Belgium,4.71
Spain,Belgium,5.11
France,Belgium,3.29
Croatia,Belgium,3.74
Italy,Belgium,5.05
Cyprus,Belgium,1.12
Latvia,Belgium,4.91
Lithuania,Belgium,3.94
Luxembourg,Belgium,0.11
Hungary,Belgium,6.99
Malta,Belgium,2.41
Netherlands,Belgium,0.78
Austria,Belgium,2.21
Poland,Belgium,3.61
Portugal,Belgium,5.09
Romania,Belgium,5.1
Slovenia,Belgium,15.54
Slovakia,Belgium,6.08
Finland,Belgium,1.99
Sweden,Belgium,2.49
United Kingdom,Belgium,1.48
Iceland,Belgium,0.01
Norway,Belgium,1.43
Switzerland,Belgium,3
Turkey,Belgium,2.96
Belgium,Bulgaria,0.63
Bulgaria,Bulgaria,3.57
Czech Republic,Bulgaria,0.34
Denmark,Bulgaria,0.04
Germany,Bulgaria,0.84
Estonia,Bulgaria,0
Ireland,Bulgaria,0
Greece,Bulgaria,1.35
Spain,Bulgaria,0.26
France,Bulgaria,0.23
Croatia,Bulgaria,0.05
Italy,Bulgaria,0.55
Cyprus,Bulgaria,1.92
Latvia,Bulgaria,0
Lithuania,Bulgaria,0
Luxembourg,Bulgaria,0
Hungary,Bulgaria,0.01
Malta,Bulgaria,0.79
Netherlands,Bulgaria,0.4
Austria,Bulgaria,1.96
Poland,Bulgaria,0.3
Portugal,Bulgaria,0
Romania,Bulgaria,0.94
Slovenia,Bulgaria,0
Slovakia,Bulgaria,0
Finland,Bulgaria,0
Sweden,Bulgaria,0.2
United Kingdom,Bulgaria,0.78
Iceland,Bulgaria,0
Norway,Bulgaria,0
Switzerland,Bulgaria,0.09
Turkey,Bulgaria,0.94
Belgium,Czech Republic,2.15
Bulgaria,Czech Republic,0.69
Czech Republic,Czech Republic,1.33
Denmark,Czech Republic,0.8
Germany,Czech Republic,1.11
Estonia,Czech Republic,0
Ireland,Czech Republic,0.94
Greece,Czech Republic,1.01
Spain,Czech Republic,0.38
France,Czech Republic,1.36
Croatia,Czech Republic,0.02
Italy,Czech Republic,1.4
Cyprus,Czech Republic,0
Latvia,Czech Republic,0.89
Lithuania,Czech Republic,0.06
Luxembourg,Czech Republic,0
Hungary,Czech Republic,0.64
Malta,Czech Republic,0
Netherlands,Czech Republic,1.45
Austria,Czech Republic,0.82
Poland,Czech Republic,0.92
Portugal,Czech Republic,0.29
Romania,Czech Republic,0.72
Slovenia,Czech Republic,1.53
Slovakia,Czech Republic,4.87
Finland,Czech Republic,1.81
Sweden,Czech Republic,0.63
United Kingdom,Czech Republic,1.43
Iceland,Czech Republic,0
Norway,Czech Republic,0.55
Switzerland,Czech Republic,0.83
Turkey,Czech Republic,1.07
Belgium,Denmark,2.76
Bulgaria,Denmark,0.2
Czech Republic,Denmark,2.07
Denmark,Denmark,11.67
Germany,Denmark,3.34
Estonia,Denmark,7.08
Ireland,Denmark,1.07
Greece,Denmark,1.55
Spain,Denmark,2.7
France,Denmark,2.16
Croatia,Denmark,2.41
Italy,Denmark,1.38
Cyprus,Denmark,0.02
Latvia,Denmark,4.75
Lithuania,Denmark,7.39
Luxembourg,Denmark,3.83
Hungary,Denmark,1.41
Malta,Denmark,0.68
Netherlands,Denmark,4.19
Austria,Denmark,3.04
Poland,Denmark,2.75
Portugal,Denmark,1.32
Romania,Denmark,0.18
Slovenia,Denmark,1.78
Slovakia,Denmark,0
Finland,Denmark,7.13
Sweden,Denmark,10.5
United Kingdom,Denmark,2.77
Iceland,Denmark,15.01
Norway,Denmark,15.25
Switzerland,Denmark,2.52
Turkey,Denmark,3.07
Belgium,Germany,8.66
Bulgaria,Germany,22.55
Czech Republic,Germany,13.88
Denmark,Germany,16.61
Germany,Germany,27.83
Estonia,Germany,20.12
Ireland,Germany,6.87
Greece,Germany,23.18
Spain,Germany,21.42
France,Germany,11.84
Croatia,Germany,45.66
Italy,Germany,16.73
Cyprus,Germany,3.5
Latvia,Germany,20.9
Lithuania,Germany,12.78
Luxembourg,Germany,19.12
Hungary,Germany,18.49
Malta,Germany,14.7
Netherlands,Germany,10.89
Austria,Germany,38.73
Poland,Germany,18.38
Portugal,Germany,15.58
Romania,Germany,18.45
Slovenia,Germany,35.63
Slovakia,Germany,0.04
Finland,Germany,17.15
Sweden,Germany,17
United Kingdom,Germany,11.57
Iceland,Germany,9.46
Norway,Germany,9.35
Switzerland,Germany,19.7
Turkey,Germany,37.94
Belgium,Estonia,0.23
Bulgaria,Estonia,0
Czech Republic,Estonia,0
Denmark,Estonia,0.58
Germany,Estonia,0.33
Estonia,Estonia,1.13
Ireland,Estonia,0
Greece,Estonia,0
Spain,Estonia,0.04
France,Estonia,0.05
Croatia,Estonia,0
Italy,Estonia,0.11
Cyprus,Estonia,0
Latvia,Estonia,4.81
Lithuania,Estonia,2.07
Luxembourg,Estonia,0
Hungary,Estonia,0
Malta,Estonia,0
Netherlands,Estonia,0.24
Austria,Estonia,0.07
Poland,Estonia,0.17
Portugal,Estonia,0.02
Romania,Estonia,0
Slovenia,Estonia,0
Slovakia,Estonia,0
Finland,Estonia,2.28
Sweden,Estonia,0.59
United Kingdom,Estonia,0.13
Iceland,Estonia,0
Norway,Estonia,0.79
Switzerland,Estonia,0.01
Turkey,Estonia,0.25
Belgium,Ireland,2.7
Bulgaria,Ireland,0
Czech Republic,Ireland,3.09
Denmark,Ireland,1.36
Germany,Ireland,1.76
Estonia,Ireland,0
Ireland,Ireland,0.33
Greece,Ireland,0
Spain,Ireland,2.48
France,Ireland,2.86
Croatia,Ireland,0.3
Italy,Ireland,1.51
Cyprus,Ireland,0
Latvia,Ireland,4.32
Lithuania,Ireland,6.31
Luxembourg,Ireland,0.94
Hungary,Ireland,3.01
Malta,Ireland,1.94
Netherlands,Ireland,2.43
Austria,Ireland,1
Poland,Ireland,5.6
Portugal,Ireland,1.74
Romania,Ireland,1.29
Slovenia,Ireland,0
Slovakia,Ireland,11.4
Finland,Ireland,0.01
Sweden,Ireland,0.3
United Kingdom,Ireland,10.4
Iceland,Ireland,0.11
Norway,Ireland,0.84
Switzerland,Ireland,1.01
Turkey,Ireland,0.67
Belgium,Greece,2
Bulgaria,Greece,3.06
Czech Republic,Greece,1.25
Denmark,Greece,0.73
Germany,Greece,2.15
Estonia,Greece,0
Ireland,Greece,0
Greece,Greece,73.26
Spain,Greece,0.26
France,Greece,1.03
Croatia,Greece,0
Italy,Greece,2.21
Cyprus,Greece,37.94
Latvia,Greece,0.02
Lithuania,Greece,0.03
Luxembourg,Greece,0
Hungary,Greece,1.08
Malta,Greece,0.72
Netherlands,Greece,0.69
Austria,Greece,1.17
Poland,Greece,0.33
Portugal,Greece,0
Romania,Greece,1.48
Slovenia,Greece,0
Slovakia,Greece,1.87
Finland,Greece,0.01
Sweden,Greece,0.38
United Kingdom,Greece,1.25
Iceland,Greece,0
Norway,Greece,0.02
Switzerland,Greece,1.65
Turkey,Greece,2.82
Belgium,Spain,23.88
Bulgaria,Spain,7.07
Czech Republic,Spain,5.14
Denmark,Spain,13.47
Germany,Spain,22.15
Estonia,Spain,2.71
Ireland,Spain,10.01
Greece,Spain,2.82
Spain,Spain,32.3
France,Spain,17.59
Croatia,Spain,0.91
Italy,Spain,16.21
Cyprus,Spain,0
Latvia,Spain,2.45
Lithuania,Spain,3.7
Luxembourg,Spain,12.51
Hungary,Spain,4.87
Malta,Spain,1.64
Netherlands,Spain,15.05
Austria,Spain,6.14
Poland,Spain,6.73
Portugal,Spain,14.64
Romania,Spain,9.98
Slovenia,Spain,0
Slovakia,Spain,3.55
Finland,Spain,17.53
Sweden,Spain,18.42
United Kingdom,Spain,21.26
Iceland,Spain,4.16
Norway,Spain,15.6
Switzerland,Spain,10.31
Turkey,Spain,4.77
Belgium,France,8.8
Bulgaria,France,3.78
Czech Republic,France,11.08
Denmark,France,6.53
Germany,France,7.9
Estonia,France,1.97
Ireland,France,7.06
Greece,France,7.02
Spain,France,10.23
France,France,52.71
Croatia,France,9
Italy,France,15.86
Cyprus,France,1.09
Latvia,France,4.48
Lithuania,France,4.91
Luxembourg,France,5.77
Hungary,France,7.19
Malta,France,5.76
Netherlands,France,7.67
Austria,France,5.05
Poland,France,5.94
Portugal,France,21.51
Romania,France,7.01
Slovenia,France,9.52
Slovakia,France,0.2
Finland,France,5.66
Sweden,France,5.58
United Kingdom,France,9.11
Iceland,France,7.6
Norway,France,2.85
Switzerland,France,9.88
Turkey,France,7.36
Belgium,Croatia,0.31
Bulgaria,Croatia,0
Czech Republic,Croatia,0
Denmark,Croatia,0.22
Germany,Croatia,0.84
Estonia,Croatia,0
Ireland,Croatia,0.02
Greece,Croatia,0
Spain,Croatia,0.02
France,Croatia,0.25
Croatia,Croatia,25.27
Italy,Croatia,0.11
Cyprus,Croatia,0
Latvia,Croatia,0
Lithuania,Croatia,0
Luxembourg,Croatia,0
Hungary,Croatia,0.16
Malta,Croatia,0.05
Netherlands,Croatia,0.4
Austria,Croatia,0.81
Poland,Croatia,0.09
Portugal,Croatia,0.01
Romania,Croatia,0
Slovenia,Croatia,0.01
Slovakia,Croatia,0.11
Finland,Croatia,0.01
Sweden,Croatia,0.01
United Kingdom,Croatia,0.19
Iceland,Croatia,0
Norway,Croatia,0.01
Switzerland,Croatia,0.22
Turkey,Croatia,0.54
Belgium,Italy,15.89
Bulgaria,Italy,9.59
Czech Republic,Italy,12.5
Denmark,Italy,4.81
Germany,Italy,11.55
Estonia,Italy,4.64
Ireland,Italy,4.09
Greece,Italy,16.3
Spain,Italy,10.92
France,Italy,17.14
Croatia,Italy,3.95
Italy,Italy,45.99
Cyprus,Italy,2.54
Latvia,Italy,5.19
Lithuania,Italy,9.33
Luxembourg,Italy,8.68
Hungary,Italy,11.8
Malta,Italy,24.57
Netherlands,Italy,10.13
Austria,Italy,5.33
Poland,Italy,7.91
Portugal,Italy,7.24
Romania,Italy,25.47
Slovenia,Italy,0.15
Slovakia,Italy,14.04
Finland,Italy,4.14
Sweden,Italy,2.3
United Kingdom,Italy,9.36
Iceland,Italy,0.34
Norway,Italy,0.83
Switzerland,Italy,5.13
Turkey,Italy,7.97
Belgium,Cyprus,0.17
Bulgaria,Cyprus,1.71
Czech Republic,Cyprus,0
Denmark,Cyprus,0
Germany,Cyprus,0.12
Estonia,Cyprus,0
Ireland,Cyprus,0
Greece,Cyprus,14.48
Spain,Cyprus,0
France,Cyprus,0.09
Croatia,Cyprus,0
Italy,Cyprus,0.12
Cyprus,Cyprus,0
Latvia,Cyprus,0.29
Lithuania,Cyprus,1.2
Luxembourg,Cyprus,0.01
Hungary,Cyprus,0.48
Malta,Cyprus,2.91
Netherlands,Cyprus,0.01
Austria,Cyprus,0.82
Poland,Cyprus,0.29
Portugal,Cyprus,0
Romania,Cyprus,1.02
Slovenia,Cyprus,0
Slovakia,Cyprus,0
Finland,Cyprus,0.01
Sweden,Cyprus,0.17
United Kingdom,Cyprus,0.97
Iceland,Cyprus,0
Norway,Cyprus,0.13
Switzerland,Cyprus,0.07
Turkey,Cyprus,0
Belgium,Latvia,0.86
Bulgaria,Latvia,0
Czech Republic,Latvia,0.44
Denmark,Latvia,0.91
Germany,Latvia,0.82
Estonia,Latvia,11.55
Ireland,Latvia,0.66
Greece,Latvia,0.01
Spain,Latvia,0.09
France,Latvia,0.27
Croatia,Latvia,0
Italy,Latvia,0.29
Cyprus,Latvia,0.32
Latvia,Latvia,0.01
Lithuania,Latvia,5.58
Luxembourg,Latvia,0
Hungary,Latvia,0.11
Malta,Latvia,0.02
Netherlands,Latvia,0.45
Austria,Latvia,0.54
Poland,Latvia,0.47
Portugal,Latvia,0
Romania,Latvia,0.03
Slovenia,Latvia,0
Slovakia,Latvia,0.6
Finland,Latvia,2.27
Sweden,Latvia,0.81
United Kingdom,Latvia,0.63
Iceland,Latvia,0
Norway,Latvia,1.77
Switzerland,Latvia,0.13
Turkey,Latvia,0.34
Belgium,Lithuania,0.57
Bulgaria,Lithuania,0
Czech Republic,Lithuania,0.02
Denmark,Lithuania,1.19
Germany,Lithuania,0.41
Estonia,Lithuania,4.24
Ireland,Lithuania,0.78
Greece,Lithuania,0.01
Spain,Lithuania,0.12
France,Lithuania,0.24
Croatia,Lithuania,0
Italy,Lithuania,0.43
Cyprus,Lithuania,1.08
Latvia,Lithuania,4.57
Lithuania,Lithuania,0.03
Luxembourg,Lithuania,0
Hungary,Lithuania,0
Malta,Lithuania,0.04
Netherlands,Lithuania,0.27
Austria,Lithuania,0.33
Poland,Lithuania,0.57
Portugal,Lithuania,0
Romania,Lithuania,0
Slovenia,Lithuania,0
Slovakia,Lithuania,0
Finland,Lithuania,0.71
Sweden,Lithuania,0.32
United Kingdom,Lithuania,0.71
Iceland,Lithuania,0.03
Norway,Lithuania,1.79
Switzerland,Lithuania,0.02
Turkey,Lithuania,0.28
Belgium,Luxembourg,0.01
Bulgaria,Luxembourg,0
Czech Republic,Luxembourg,0
Denmark,Luxembourg,0.4
Germany,Luxembourg,0.41
Estonia,Luxembourg,0
Ireland,Luxembourg,0.08
Greece,Luxembourg,0
Spain,Luxembourg,0.23
France,Luxembourg,0.19
Croatia,Luxembourg,0
Italy,Luxembourg,0.27
Cyprus,Luxembourg,0
Latvia,Luxembourg,0
Lithuania,Luxembourg,0
